"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE02120300000000202051";"02.01.2023";"02.01.2023";"GUTSCHRIFT";"Gehalt Dezember";"";"";"SALARY2022-12";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.01.2023";"02.01.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV12345678";"";"85,30";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-85,30";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.01.2023";"03.01.2023";"LASTSCHRIFT";"Miete Januar";"DE33ZZZ00088888888";"MREF20220101";"RENT202301";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.01.2023";"05.01.2023";"UEBERWEISUNG";"Amazon Einkauf";"";"";"AMZN202301041235";"";"";"";"Amazon EU SARL";"GB29NWBK60161331926819";"NWBKGB2LXXX";"-49,99";"EUR";"Online-Einkauf"
"DE02120300000000202051";"06.01.2023";"06.01.2023";"GUTSCHRIFT";"Rückerstattung";"";"";"REFUND20221215";"";"";"";"Telekom Deutschland";"DE52200700000012345678";"DEUTDEDBXXX";"24,95";"EUR";"Guthaben"
"DE02120300000000202051";"10.01.2023";"10.01.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202301";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.01.2023";"12.01.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230111";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-87,45";"EUR";"Lebensmittel"
"DE02120300000000202051";"15.01.2023";"15.01.2023";"GUTSCHRIFT";"Überweisung Freund";"";"";"TRANSFER0123";"";"";"";"Max Mustermann";"DE12500105170648489890";"INGDDEFFXXX";"150,00";"EUR";"Privatüberweisung"
"DE02120300000000202051";"18.01.2023";"18.01.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY12345";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.01.2023";"20.01.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF123456789";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.01.2023";"22.01.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230121";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-65,30";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.01.2023";"25.01.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB123456";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.01.2023";"28.01.2023";"UEBERWEISUNG";"Apotheke";"";"";"PHARM20230127";"";"";"";"Apotheke am Markt";"DE02500105170123456789";"INGDDEFFXXX";"-23,40";"EUR";"Medikamente"
"DE02120300000000202051";"01.02.2023";"01.02.2023";"GUTSCHRIFT";"Gehalt Januar";"";"";"SALARY2023-01";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
"DE02120300000000202051";"02.02.2023";"02.02.2023";"LASTSCHRIFT";"Stromrechnung";"DE98ZZZ00099999999";"MREF20221115";"INV23456789";"";"86,75";"";"Stadtwerke Musterstadt";"DE02500105170137075030";"INGDDEFFXXX";"-86,75";"EUR";"Energieversorgung"
"DE02120300000000202051";"03.02.2023";"03.02.2023";"LASTSCHRIFT";"Miete Februar";"DE33ZZZ00088888888";"MREF20220101";"RENT202302";"";"1200,00";"";"Hausverwaltung Müller";"DE88100900001234567892";"BEVODEBBXXX";"-1200,00";"EUR";"Mietzahlung"
"DE02120300000000202051";"05.02.2023";"05.02.2023";"UEBERWEISUNG";"Buchhandlung";"";"";"BOOK20230204";"";"";"";"Thalia Bücher GmbH";"DE02500105170123456789";"INGDDEFFXXX";"-32,90";"EUR";"Bücher"
"DE02120300000000202051";"08.02.2023";"08.02.2023";"GUTSCHRIFT";"Steuerrückzahlung";"";"";"TAXREF2023001";"";"";"";"Finanzamt Musterstadt";"DE02500105170123456789";"INGDDEFFXXX";"420,50";"EUR";"Steuererstattung"
"DE02120300000000202051";"10.02.2023";"10.02.2023";"LASTSCHRIFT";"Fitnessstudio";"DE12ZZZ00077777777";"MREF20220110";"GYM202302";"";"39,90";"";"Fit&Gesund GmbH";"DE02500500000012345678";"SOLADESTXXX";"-39,90";"EUR";"Mitgliedsbeitrag"
"DE02120300000000202051";"12.02.2023";"12.02.2023";"UEBERWEISUNG";"Supermarkt";"";"";"GROCERY20230211";"";"";"";"REWE Filiale 123";"DE02500105170123456789";"INGDDEFFXXX";"-92,15";"EUR";"Lebensmittel"
"DE02120300000000202051";"14.02.2023";"14.02.2023";"UEBERWEISUNG";"Blumenladen";"";"";"FLOWERS20230213";"";"";"";"Blumenparadies";"DE02500105170123456789";"INGDDEFFXXX";"-35,00";"EUR";"Valentinstag"
"DE02120300000000202051";"15.02.2023";"15.02.2023";"UEBERWEISUNG";"Restaurant";"";"";"DINNER20230214";"";"";"";"Italienisches Restaurant";"DE02500105170123456789";"INGDDEFFXXX";"-68,90";"EUR";"Abendessen"
"DE02120300000000202051";"18.02.2023";"18.02.2023";"LASTSCHRIFT";"Spotify Abo";"SE45ZZZ00066666666";"MREF20220118";"SPOTIFY23456";"";"9,99";"";"Spotify AB";"SE7280000810340009783242";"SWEDSESSXXX";"-9,99";"EUR";"Musikstreaming"
"DE02120300000000202051";"20.02.2023";"20.02.2023";"LASTSCHRIFT";"Netflix Abonnement";"US35ZZZ00066666666";"MREF20220120";"NF234567890";"";"12,99";"";"Netflix International";"IE64IRCE92050112345678";"IRCEIE2DXXX";"-12,99";"EUR";"Streaming-Dienst"
"DE02120300000000202051";"22.02.2023";"22.02.2023";"UEBERWEISUNG";"Tankstelle";"";"";"FUEL20230221";"";"";"";"Shell Station 123";"DE02500105170123456789";"INGDDEFFXXX";"-58,40";"EUR";"Kraftstoff"
"DE02120300000000202051";"25.02.2023";"25.02.2023";"LASTSCHRIFT";"Handyrechnung";"DE45ZZZ00055555555";"MREF20220125";"MOB234567";"";"29,95";"";"Telefonica Deutschland";"DE02500105171234567890";"INGDDEFFXXX";"-29,95";"EUR";"Mobilfunk"
"DE02120300000000202051";"28.02.2023";"28.02.2023";"UEBERWEISUNG";"Kleidung";"";"";"CLOTHES20230227";"";"";"";"H&M Online";"DE02500105170123456789";"INGDDEFFXXX";"-89,95";"EUR";"Bekleidung"
"DE02120300000000202051";"01.03.2023";"01.03.2023";"GUTSCHRIFT";"Gehalt Februar";"";"";"SALARY2023-02";"";"";"";"Arbeitgeber GmbH";"DE02200505501015871393";"BELADEBEXXX";"3520,50";"EUR";"Gehaltszahlung"
